1988-2002 Statistics of U.S. Businesses comma-delimited files

  MSA
  CODE  MSA DESCRIPTION
  0040  Abilene, TX
  4420  Longview--Marshall, TX
  4480  Los Angeles--Long Beach, CA
  4520  Louisville, KY--IN
  4560  Lowell, MA--NH
  4600  Lubbock, TX
  4640  Lynchburg, VA
  4680  Macon, GA
  4720  Madison, WI
  4760  Manchester, NH
  4800  Mansfield, OH
  4880  McAllen--Edinburg--Mission, TX
  4890  Medford--Ashland, OR
  4900  Melbourne--Titusville--Palm Bay, FL
  4920  Memphis, TN--AR--MS
  4940  Merced, CA
  5000  Miami, FL
  5015  Middlesex--Somerset--Hunterdon, NJ
  5080  Milwaukee--Waukesha, WI
  5120  Minneapolis--St. Paul, MN--WI
  5140  Missoula, MT
  5160  Mobile, AL
  5170  Modesto, CA
  5190  Monmouth--Ocean, NJ
  5200  Monroe, LA
  5240  Montgomery, AL
  5280  Muncie, IN
  5330  Myrtle Beach, SC
  5345  Naples, FL
  5350  Nashua, NH
  5360  Nashville, TN
  5380  Nassau--Suffolk, NY
  5400  New Bedford, MA
  5480  New Haven--Meriden, CT
  5520  New London--Norwich, CT--RI
  5560  New Orleans, LA
  5600  New York, NY
  5640  Newark, NJ
  5660  Newburgh, NY--PA
  5720  Norfolk--Virginia Beach--Newport News, VA--NC
  5775  Oakland, CA
  5790  Ocala, FL
  5800  Odessa--Midland, TX
  5880  Oklahoma City, OK
  5910  Olympia, WA
  5920  Omaha, NE--IA
  5945  Orange County, CA
  5960  Orlando, FL
  5990  Owensboro, KY
  6015  Panama City, FL
  6020  Parkersburg--Marietta, WV--OH
  6080  Pensacola, FL
  6120  Peoria--Pekin, IL
  6160  Philadelphia, PA--NJ
  6200  Phoenix--Mesa, AZ
  6240  Pine Bluff, AR
  6280  Pittsburgh, PA
  6320  Pittsfield, MA
  6340  Pocatello, ID
  6400  Portland, ME
  6440  Portland--Vancouver, OR--WA
  6450  Portsmouth--Rochester, NH--ME
  6480  Providence--Fall River--Warwick, RI--MA
  6520  Provo--Orem, UT
  6560  Pueblo, CO
  6580  Punta Gorda, FL
  6600  Racine, WI
  6640  Raleigh--Durham--Chapel Hill, NC
  6660  Rapid City, SD
  6680  Reading, PA
  6690  Redding, CA
  6720  Reno, NV
  6740  Richland--Kennewick--Pasco, WA
  6760  Richmond--Petersburg, VA
  6780  Riverside--San Bernardino, CA
  6800  Roanoke, VA
  6820  Rochester, MN
  6840  Rochester, NY
  6880  Rockford, IL
  6895  Rocky Mount, NC
  6920  Sacramento, CA
  6960  Saginaw--Bay City--Midland, MI
  6980  St. Cloud, MN
  7000  St. Joseph, MO
  7040  St. Louis, MO--IL
  7080  Salem, OR
  7120  Salinas, CA
  7160  Salt Lake City--Ogden, UT
  7200  San Angelo, TX
  7240  San Antonio, TX
  7320  San Diego, CA
  7360  San Francisco, CA
  7400  San Jose, CA
  7460  San Luis Obispo--Atascadero--Paso Robles, CA
  7480  Santa Barbara--Santa Maria--Lompoc, CA
  7485  Santa Cruz--Watsonville, CA
  7490  Santa Fe, NM
  7500  Santa Rosa, CA
  7510  Sarasota--Bradenton, FL
  7520  Savannah, GA
  7560  Scranton--Wilkes-Barre--Hazleton, PA
  7600  Seattle--Bellevue--Everett, WA
  7610  Sharon, PA
  7620  Sheboygan, WI
  7640  Sherman--Denison, TX
  7680  Shreveport--Bossier City, LA
  7720  Sioux City, IA--NE
  7760  Sioux Falls, SD
  7800  South Bend, IN
  7840  Spokane, WA
  7880  Springfield, IL
  7920  Springfield, MO
  8000  Springfield, MA
  8040  Stamford--Norwalk, CT
  8050  State College, PA
  8080  Steubenville--Weirton, OH--WV
  8120  Stockton--Lodi, CA
  8140  Sumter, SC
  8160  Syracuse, NY
  8200  Tacoma, WA
  8240  Tallahassee, FL
  8280  Tampa--St. Petersburg--Clearwater, FL
  8320  Terre Haute, IN
  8360  Texarkana, TX--Texarkana, AR
  8400  Toledo, OH
  8440  Topeka, KS
  8480  Trenton, NJ
  8520  Tucson, AZ
  8560  Tulsa, OK
  8600  Tuscaloosa, AL
  8640  Tyler, TX
  8680  Utica--Rome, NY
  8720  Vallejo--Fairfield--Napa, CA
  8735  Ventura, CA
  8750  Victoria, TX
  8760  Vineland--Millville--Bridgeton, NJ
  8780  Visalia--Tulare--Porterville, CA
  8800  Waco, TX
  8840  Washington, DC--MD--VA--WV
  8880  Waterbury, CT
  8920  Waterloo--Cedar Falls, IA
  8940  Wausau, WI
  8960  West Palm Beach--Boca Raton, FL
  9000  Wheeling, WV--OH
  9040  Wichita, KS
  9080  Wichita Falls, TX
  9140  Williamsport, PA
  9160  Wilmington--Newark, DE--MD
  9200  Wilmington, NC
  9240  Worcester, MA--CT
  9260  Yakima, WA
  9270  Yolo, CA
  9280  York, PA
  9320  Youngstown--Warren, OH
  9340  Yuba City, CA
  9360  Yuma, AZ
