STATE,SIC,ENTRSIZE,FIRM,ESTB,EMPL,EMPLFL,PAYR,PAYRFL,RCPT,RCPTFL,STATEDSCR,SICDSCR,ENTRSIZEDSCR
00,40--,08,191740,193852,746448,,17856197,,86239731,,United States,"TRANSPORTATION, COMM., UTILITIES",< 20 employees
00,40--,10,5133,5815,110621,,2748883,,11586361,,United States,"TRANSPORTATION, COMM., UTILITIES",20-24 employees
00,40--,11,3529,4265,93224,,2354202,,10135486,,United States,"TRANSPORTATION, COMM., UTILITIES",25-29 employees
00,40--,12,2544,3102,79304,,2014348,,8199793,,United States,"TRANSPORTATION, COMM., UTILITIES",30-34 employees
00,40--,13,1934,2525,69275,,1826945,,7762534,,United States,"TRANSPORTATION, COMM., UTILITIES",35-39 employees
00,40--,14,1465,1981,59406,,1612683,,6895915,,United States,"TRANSPORTATION, COMM., UTILITIES",40-44 employees
00,40--,15,1196,1685,54091,,1402627,,5501270,,United States,"TRANSPORTATION, COMM., UTILITIES",45-49 employees
00,40--,16,986,1501,49291,,1349037,,5385807,,United States,"TRANSPORTATION, COMM., UTILITIES",50-54 employees
00,40--,17,813,1304,44429,,1210420,,5447210,,United States,"TRANSPORTATION, COMM., UTILITIES",55-59 employees
00,40--,18,653,1055,38884,,1099486,,6200307,,United States,"TRANSPORTATION, COMM., UTILITIES",60-64 employees
00,40--,19,599,980,37920,,1067362,,4295000,,United States,"TRANSPORTATION, COMM., UTILITIES",65-69 employees
00,40--,20,511,933,34808,,1019532,,4259720,,United States,"TRANSPORTATION, COMM., UTILITIES",70-74 employees
00,40--,21,414,782,30361,,865304,,3484038,,United States,"TRANSPORTATION, COMM., UTILITIES",75-79 employees
00,40--,22,385,761,29234,,848009,,4109326,,United States,"TRANSPORTATION, COMM., UTILITIES",80-84 employees
00,40--,23,352,676,28034,,763181,,2958214,,United States,"TRANSPORTATION, COMM., UTILITIES",85-89 employees
00,40--,24,289,580,24495,,700480,,3076540,,United States,"TRANSPORTATION, COMM., UTILITIES",90-94 employees
00,40--,25,257,582,23111,,706806,,3594903,,United States,"TRANSPORTATION, COMM., UTILITIES",95-99 employees
00,40--,27,216957,237301,2216815,,59525514,,276306027,,United States,"TRANSPORTATION, COMM., UTILITIES",< 500 employees
00,40--,29,582,5376,262309,,9035600,,45689059,,United States,"TRANSPORTATION, COMM., UTILITIES",500-999 employees
00,40--,30,230,2991,151730,,5199525,,28148559,,United States,"TRANSPORTATION, COMM., UTILITIES","1,000-1,499 employees"
00,40--,31,230,3451,194093,,7662049,,54290945,,United States,"TRANSPORTATION, COMM., UTILITIES","1,500-2,499 employees"
00,40--,32,655,52509,3422022,,144629911,,859517222,,United States,"TRANSPORTATION, COMM., UTILITIES","2,500 + employees"
00,50--,01,413690,530967,6810413,,255887683,,4222553155,,United States,WHOLESALE,Total
00,50--,02,40641,40699,0,,1864126,,35703030,,United States,WHOLESALE,0 employees
00,50--,03,181176,181552,386774,,11983078,,235803676,,United States,WHOLESALE,1-4 employees
00,50--,04,78515,80161,518805,,15962471,,231743338,,United States,WHOLESALE,5-9 employees
00,50--,06,34947,37351,406061,,12906910,,164648716,,United States,WHOLESALE,10-14 employees
00,50--,07,19107,21893,314960,,10239860,,120838972,,United States,WHOLESALE,15-19 employees
00,50--,08,354386,361656,1626600,,52956445,,788737732,,United States,WHOLESALE,< 20 employees
00,50--,10,12076,14828,256698,,8458977,,103826080,,United States,WHOLESALE,20-24 employees
00,50--,11,7996,10390,206326,,6913668,,82527439,,United States,WHOLESALE,25-29 employees
00,50--,12,5757,8023,174946,,5921597,,68184469,,United States,WHOLESALE,30-34 employees
00,50--,13,4280,6396,148691,,4996983,,66665766,,United States,WHOLESALE,35-39 employees
00,50--,14,3399,5410,132395,,4481169,,52317751,,United States,WHOLESALE,40-44 employees
00,50--,15,2509,4028,109337,,3717508,,39980894,,United States,WHOLESALE,45-49 employees
00,50--,16,2138,3763,101348,,3437719,,42096420,,United States,WHOLESALE,50-54 employees
00,50--,17,1787,3169,91070,,3082277,,40796393,,United States,WHOLESALE,55-59 employees
00,50--,18,1426,2628,79471,,2743120,,29776509,,United States,WHOLESALE,60-64 employees
00,50--,19,1151,2255,67807,,2273571,,26377237,,United States,WHOLESALE,65-69 employees
00,50--,20,1066,2109,66967,,2226032,,22842524,,United States,WHOLESALE,70-74 employees
00,50--,21,929,2014,60825,,2067102,,23058645,,United States,WHOLESALE,75-79 employees
00,50--,22,839,1981,58546,,2057356,,28085048,,United States,WHOLESALE,80-84 employees
00,50--,23,796,1818,58722,,2034031,,22751248,,United States,WHOLESALE,85-89 employees
00,50--,24,666,1549,52739,,1811630,,19095037,,United States,WHOLESALE,90-94 employees
00,50--,25,542,1314,43625,,1546403,,17442764,,United States,WHOLESALE,95-99 employees
00,50--,27,410261,463313,4412570,,149274437,,1974553543,,United States,WHOLESALE,< 500 employees
00,50--,29,1190,9479,285255,,10844447,,194280207,,United States,WHOLESALE,500-999 employees
00,50--,30,513,5697,167654,,6853932,,124301376,,United States,WHOLESALE,"1,000-1,499 employees"
00,50--,31,507,6709,199212,,8192332,,152653193,,United States,WHOLESALE,"1,500-2,499 employees"
00,50--,32,1219,45769,1745722,,80722535,,1776764836,,United States,WHOLESALE,"2,500 + employees"
00,52--,01,1097657,1592292,22003645,,330384866,,2578150268,,United States,RETAIL,Total
00,52--,02,133227,134354,0,,3796984,,33585046,,United States,RETAIL,0 employees
00,52--,03,460563,461824,1034205,,13505742,,135642350,,United States,RETAIL,1-4 employees
00,52--,04,225326,229978,1487933,,19127224,,148698738,,United States,RETAIL,5-9 employees
00,52--,06,94281,101797,1097325,,14352190,,101346943,,United States,RETAIL,10-14 employees
00,52--,07,48872,55974,812222,,10766281,,73862313,,United States,RETAIL,15-19 employees
00,52--,08,962269,983927,4431685,,61548421,,493135390,,United States,RETAIL,< 20 employees
00,52--,10,30093,36526,648747,,8721411,,60821152,,United States,RETAIL,20-24 employees
00,52--,11,20312,25971,537446,,7278608,,52101762,,United States,RETAIL,25-29 employees
00,52--,12,14863,20174,464794,,6558984,,48348428,,United States,RETAIL,30-34 employees
00,52--,13,11151,15941,402493,,5858243,,44484842,,United States,RETAIL,35-39 employees
00,52--,14,8632,12945,352718,,5267920,,41793827,,United States,RETAIL,40-44 employees
00,52--,15,6870,10921,314218,,4907774,,40111398,,United States,RETAIL,45-49 employees
00,52--,16,5305,8859,266986,,4275081,,35162975,,United States,RETAIL,50-54 employees
00,52--,17,4217,7379,232153,,3695292,,30593513,,United States,RETAIL,55-59 employees
00,52--,18,3624,6853,217003,,3586899,,31089495,,United States,RETAIL,60-64 employees
00,52--,19,2896,6003,185446,,3226245,,27197822,,United States,RETAIL,65-69 employees
00,52--,20,2444,5123,168485,,2867065,,24684745,,United States,RETAIL,70-74 employees
00,52--,21,2123,4994,155963,,2629225,,23202738,,United States,RETAIL,75-79 employees
00,52--,22,1839,4630,144627,,2545156,,23086783,,United States,RETAIL,80-84 employees
00,52--,23,1547,3675,127539,,2320301,,20908782,,United States,RETAIL,85-89 employees
00,52--,24,1313,3696,113994,,2081537,,18888507,,United States,RETAIL,90-94 employees
00,52--,25,1143,3284,103913,,1893383,,17820491,,United States,RETAIL,95-99 employees
00,52--,27,1094492,1243001,11149164,,167317913,,1356000060,,United States,RETAIL,< 500 employees
00,52--,29,1272,30163,662826,,10260163,,76045746,,United States,RETAIL,500-999 employees
00,52--,30,482,17958,405218,,6130219,,43224536,,United States,RETAIL,"1,000-1,499 employees"
00,52--,31,413,24270,478359,,7395654,,53390526,,United States,RETAIL,"1,500-2,499 employees"
00,52--,32,998,276900,9308078,,139280917,,1049489400,,United States,RETAIL,"2,500 + employees"
00,60--,01,460568,678129,7367192,,313289829,,2468069744,,United States,"FINANCE, INSURANCE, REAL ESTATE",Total
00,60--,02,58677,58791,0,,2851968,,19139854,,United States,"FINANCE, INSURANCE, REAL ESTATE",0 employees
00,60--,03,278549,279305,536782,,13439335,,95312213,,United States,"FINANCE, INSURANCE, REAL ESTATE",1-4 employees
00,60--,04,60633,63286,388836,,11708005,,58868365,,United States,"FINANCE, INSURANCE, REAL ESTATE",5-9 employees
00,60--,06,19432,22679,224797,,7674984,,36823309,,United States,"FINANCE, INSURANCE, REAL ESTATE",10-14 employees
00,60--,07,9550,12430,157389,,5516387,,25354965,,United States,"FINANCE, INSURANCE, REAL ESTATE",15-19 employees
00,60--,08,426841,436491,1307804,,41190679,,235498706,,United States,"FINANCE, INSURANCE, REAL ESTATE",< 20 employees
00,60--,10,5724,8264,121817,,4438603,,20930477,,United States,"FINANCE, INSURANCE, REAL ESTATE",20-24 employees
00,60--,11,3863,6172,100124,,3639071,,18215272,,United States,"FINANCE, INSURANCE, REAL ESTATE",25-29 employees
00,60--,12,2852,5155,87515,,3163287,,16891029,,United States,"FINANCE, INSURANCE, REAL ESTATE",30-34 employees
00,60--,13,2231,4287,78183,,2816585,,13091223,,United States,"FINANCE, INSURANCE, REAL ESTATE",35-39 employees
00,60--,14,1736,3699,69254,,2535167,,13182523,,United States,"FINANCE, INSURANCE, REAL ESTATE",40-44 employees
00,60--,15,1412,3074,62851,,2306125,,11939132,,United States,"FINANCE, INSURANCE, REAL ESTATE",45-49 employees
00,60--,16,1188,3010,57006,,1985066,,12101246,,United States,"FINANCE, INSURANCE, REAL ESTATE",50-54 employees
00,60--,17,930,2457,48846,,1735778,,8342639,,United States,"FINANCE, INSURANCE, REAL ESTATE",55-59 employees
00,60--,18,820,2290,46380,,1650995,,9177661,,United States,"FINANCE, INSURANCE, REAL ESTATE",60-64 employees
00,60--,19,752,2158,46057,,1642482,,9096133,,United States,"FINANCE, INSURANCE, REAL ESTATE",65-69 employees
00,60--,20,614,1740,40401,,1509352,,10569731,,United States,"FINANCE, INSURANCE, REAL ESTATE",70-74 employees
00,60--,21,540,1717,36668,,1337208,,6538240,,United States,"FINANCE, INSURANCE, REAL ESTATE",75-79 employees
00,60--,22,524,1803,38129,,1295482,,6459425,,United States,"FINANCE, INSURANCE, REAL ESTATE",80-84 employees
00,60--,23,472,1663,35410,,1240898,,6424689,,United States,"FINANCE, INSURANCE, REAL ESTATE",85-89 employees
00,60--,24,400,1527,31730,,1106986,,6282754,,United States,"FINANCE, INSURANCE, REAL ESTATE",90-94 employees
00,60--,25,340,1255,28891,,1125724,,7567620,,United States,"FINANCE, INSURANCE, REAL ESTATE",95-99 employees
00,60--,27,457311,520584,3097430,,107440283,,639957710,,United States,"FINANCE, INSURANCE, REAL ESTATE",< 500 employees
00,60--,29,1073,12690,334898,,14379086,,103868169,,United States,"FINANCE, INSURANCE, REAL ESTATE",500-999 employees
00,60--,30,459,6864,190708,,10451040,,76432169,,United States,"FINANCE, INSURANCE, REAL ESTATE","1,000-1,499 employees"
00,60--,31,475,10096,284042,,12684760,,111842798,,United States,"FINANCE, INSURANCE, REAL ESTATE","1,500-2,499 employees"
00,60--,32,1250,127895,3460114,,168334660,,1535968898,,United States,"FINANCE, INSURANCE, REAL ESTATE","2,500 + employees"
00,70--,01,2224348,2553603,37384595,,1014185813,,2657047254,,United States,SERVICES,Total
00,70--,02,273313,273753,0,,13506516,,48352328,,United States,SERVICES,0 employees
00,70--,03,1122600,1124086,2330103,,61971255,,217972148,,United States,SERVICES,1-4 employees
00,70--,04,405653,410902,2648096,,67359322,,190104835,,United States,SERVICES,5-9 employees
00,70--,06,144270,151646,1678774,,44772364,,115870582,,United States,SERVICES,10-14 employees
00,70--,07,70410,77490,1173995,,31977658,,79227201,,United States,SERVICES,15-19 employees
00,70--,08,2016246,2037877,7830968,,219587115,,651527094,,United States,SERVICES,< 20 employees
00,70--,10,42055,48735,911548,,24529865,,60718569,,United States,SERVICES,20-24 employees
00,70--,11,27552,33381,733014,,19466701,,47192810,,United States,SERVICES,25-29 employees
00,70--,12,19786,25469,623207,,16609181,,40864200,,United States,SERVICES,30-34 employees
00,70--,13,14428,19311,524628,,13767735,,33244630,,United States,SERVICES,35-39 employees
00,70--,14,11342,15651,466732,,12029164,,29582731,,United States,SERVICES,40-44 employees
00,70--,15,9014,13239,414825,,10750372,,25794025,,United States,SERVICES,45-49 employees
00,70--,16,7349,11087,373623,,9508494,,23482106,,United States,SERVICES,50-54 employees
00,70--,17,6064,9947,337611,,8563318,,19946655,,United States,SERVICES,55-59 employees
00,70--,18,5149,8452,310896,,7952473,,18498793,,United States,SERVICES,60-64 employees
00,70--,19,4430,7543,289998,,7221598,,17306588,,United States,SERVICES,65-69 employees
00,70--,20,3863,6764,270196,,6865807,,16306357,,United States,SERVICES,70-74 employees
00,70--,21,3435,6156,255870,,6479535,,15546033,,United States,SERVICES,75-79 employees
00,70--,22,3050,5753,241629,,6070606,,14596884,,United States,SERVICES,80-84 employees
00,70--,23,2660,5197,223191,,5528302,,13322287,,United States,SERVICES,85-89 employees
00,70--,24,2457,4839,218091,,5222111,,12445896,,United States,SERVICES,90-94 employees
00,70--,25,2196,4537,204944,,4932994,,11953280,,United States,SERVICES,95-99 employees
00,70--,27,2215414,2374040,20582445,,541680998,,1427055048,,United States,SERVICES,< 500 employees
00,70--,29,4178,30498,2503423,,63422189,,154756982,,United States,SERVICES,500-999 employees
